Index,ID,x,y,Region,Source,Species,Presence
90,CBNA_252720,6.44822,45.8531,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
91,CBNA_256615,6.5359,46.142,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
92,CBNA_257916,6.28554,45.814,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
93,CBNA_258198,6.75044,46.2209,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
94,CBNA_258199,6.75204,46.2231,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
95,CBNA_258373,6.74027,46.2232,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
96,CBNA_261590,6.477607,46.178391,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
97,CBNA_261658,6.482455,46.177531,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
98,CBNA_261781,6.501032,46.185202,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
99,CBNA_262603,6.701955,45.942519,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
100,CBNA_265926,6.476486,45.998373,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
101,CBNA_267387,6.512701,46.015121,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
102,CBNA_270944,6.75618,45.8431,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
103,CBNA_272937,6.469408,46.15176,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
104,CBNA_273252,5.872064,45.934154,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
105,CBNA_273897,6.764165,46.295251,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
106,CBNA_275321,6.056294,45.751296,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
107,CBNA_275720,5.916406,46.023457,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
108,CBNA_276750,5.967,46.0191,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
109,CBNA_278925,6.555199,46.286184,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
110,CBNA_285251,6.3636,46.3449,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
111,CBNA_285947,6.5577,45.9432,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
112,CBNA_285948,6.56266,45.9421,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
113,CBNA_289552,5.852312,45.93307,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
114,CBNA_289600,5.852421,45.932943,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
115,CBNA_293518,6.548267,46.098958,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
116,CBNA_293673,6.443796,46.138983,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
117,CBNA_293813,6.437302,46.139511,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
118,CBNA_294850,6.609534,46.280406,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
119,CBNA_294936,6.607749,46.279114,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
120,CBNA_296517,6.062739,46.032155,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
121,CBNA_299304,6.482275,46.181877,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
122,CBNA_299688,6.789733,45.967513,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
123,CBNA_301134,6.645382,46.247843,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
124,CBNA_303156,6.839093,46.113743,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
125,CBNA_305280,6.556385,46.286648,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
126,CBNA_305644,6.578678,46.296157,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
127,CBNA_307367,6.609018,46.304504,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
128,CBNA_309001,6.163595,45.898966,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
129,CBNA_309729,6.433684,46.13948,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
130,CBNA_314900,6.465823,46.332457,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
131,CBNA_317460,6.295985,45.916199,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
132,CBNA_319701,5.94613,46.0507,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
133,CBNA_320310,5.918336,46.075903,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
134,CBNA_320357,5.89191,46.1119,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
135,CBNA_320535,5.89452,46.108355,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
136,CBNA_321776,6.613236,46.178329,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
137,CBNA_327494,6.539812,45.962323,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
138,CBNA_331171,6.191852,46.150091,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
139,CBNA_331301,5.958736,46.012383,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
140,CBNA_336587,6.760519,46.295926,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
141,CBNA_338495,6.753442,46.342062,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
142,CBNA_338588,6.559764,46.092129,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
143,CBNA_338892,6.170253,46.134506,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
144,CBNA_338961,6.169689,46.134628,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
145,CBNA_340296,6.34169,45.9375,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
146,CBNA_341452,6.198634,45.810458,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
147,CBNA_341578,6.20032,45.811163,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
148,CBNA_341842,6.213183,46.160511,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
149,CBNA_343237,6.450981,46.002845,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
150,CBNA_343895,6.49873,46.0121,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
151,CBNA_344602,6.535752,45.980583,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
152,CBNA_345111,6.575855,45.968145,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
153,CBNA_345587,6.226529,45.832598,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
154,CBNA_346324,6.55666,46.093344,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
155,CBNA_347545,6.179945,45.901225,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
156,CBNA_349073,6.052541,45.951214,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
157,CBNA_349753,6.045395,45.957286,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
158,CBNA_349754,6.05455,45.9451,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
159,CBNA_350792,5.958216,46.033409,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
160,CBNA_352372,5.89309,46.243335,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
161,CBNA_369848,5.4608,44.6029,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
162,CBNA_369850,4.81278,45.2441,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
163,CBNA_369911,4.78578,44.3396,Apennines,CBNA,Dianthus sylvestris ssp longicaulis,1
